date,ARDA,BRUC,CAMP,CORR,GOUN,KOND,MEAR,MTMA,NOON,REDB,BOKA,BROW,CASU,COOM,COYR,DULB,DUMB,FLAG,GUND,KWOB,LITT,MART,MIRI,MURA,NONA,PARK,QUEE,TAAN,TAAR,TOOL,WAGI,WALB,WARG,WEST,WHIN,WHIW,YEAL
8/12/1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.81513648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/01/1993,40.34228188,32.32758621,35.78525834,77.44,34.20256024,34.12482776,21.98854806,101.4461415,79.22377622,109.962766,37.96699029,29.58196182,28.33440514,19.67665953,17.62378277,94.2617801,18.2794687,54.49821782,20.09701701,30.3808933,76.62733813,19.79284963,25.0755287,105.4524766,153.8705882,14.75268268,32.34661265,150.0441379,114.8763476,28.32656771,118.5214153,41.75154512,20.87673956,21.09462916,142.3271028,154.2532213,17.45719661
26/02/1993,49.66442953,37.53448276,72.31855956,85.048,56.24021084,51.09313541,31.52719836,152.4107717,109.0559441,169.1223404,NA,47.25148124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169.5882353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.4778711,18.76669802
14/03/1993,56.83892617,42.63793103,85.60893653,88.024,63.12349398,63.5967055,44.84458078,154.988746,120.3356643,184.5053191,131.8621359,55.86701777,NA,24.82655246,NA,139.6858639,22.43236884,NA,35.91692222,NA,131.3352518,NA,NA,NA,155.9647059,NA,119.2397029,182.3125517,125.1005501,36.73159649,NA,56.86773795,NA,NA,186.4431006,169.4577031,NA
15/04/1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.79029126,53.97037525,22.47266881,16.04282655,14.8835206,36.43455497,13.58672073,18.15287129,13.99024254,66.64764268,103.3769784,15.89695058,17.79154079,35.35207497,172.6588235,12.02146142,13.48975917,127.4201379,105.2457646,33.72796122,16.53258845,31.58590853,17.9582505,15.4398977,149.1968114,168.0817927,18.53621825
2/06/1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.02893891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.55558922,NA,35.46353523,NA,NA,NA,NA,NA
18/06/1993,25,NA,NA,39.944,NA,38.16612378,25.6603928,NA,43.5034965,34.40957447,27.46407767,40.39828835,24.50482315,18.95717345,18.23726592,40.2408377,16.76357902,NA,16.79927516,35.69354839,48.5294964,19.9106204,22.16314199,32.74297189,60.07058824,15.11165049,17.47017781,46.296,60.85654565,32.45380188,18.54003724,33.52286774,21.66799205,21.02046036,48.07201759,68.18263305,16.35341176
4/07/1993,23.55704698,29.84482759,NA,38.096,NA,31.16284605,NA,21.65996785,46.53846154,32.54255319,19.79805825,33.63396972,NA,NA,NA,NA,NA,18.24871287,NA,NA,26.48057554,16.28391167,21.95468278,30.23427041,33.37647059,15.09018906,16.22192212,25.16662069,37.765625,NA,17.61452514,NA,17.32803181,16.88746803,21.62286971,41.29019608,NA
20/07/1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.41540487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.66398929,62.43529412,NA,NA,NA,NA,NA,NA,NA,NA,22.8797954,NA,57.33669468,32.29868297
6/09/1993,NA,23.81034483,35.77140792,NA,31.90888554,NA,13.87034765,NA,38.23776224,32.5,NA,19.70309414,NA,NA,NA,NA,10.50093445,NA,11.95790354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.35009311,NA,NA,NA,NA,35.0302521,NA
22/09/1993,25.4966443,23.06896552,42.48380104,29.912,25.71536145,28.82913692,13.5595092,42.5892283,39.86013986,33.81914894,13.42912621,19.90256748,16.96784566,13.40578158,13.22977528,28.52879581,10.69072887,14.01544554,11.64120435,20.09801489,19.06043165,12.9232387,14.25075529,22.2476573,23.43529412,10.42667348,10.72968715,15.47393103,40.75225523,22.46955468,12.97579143,26.79480841,14.20675944,13.32225064,17.55085212,39.47002801,11.45014111
8/10/1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25/11/1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.84660194,29.86635945,17.09003215,24.52890792,NA,38.36649215,NA,22.60039604,15.02536939,26.99007444,NA,16.40694006,18.23867069,36.15930388,74,14.65457333,14.22619851,39.304,92.48030803,22.94183581,23.70391061,33.92583436,17.7554672,15.55242967,NA,127.1226891,16.04750706
11/12/1993,36.94630872,30.86206897,61.16885463,38.264,49.70331325,44.39991231,19.62331288,93.72749196,95.18881119,116.3510638,21.93786408,31.2317314,23.23472669,15.69486081,14.81928839,49.67539267,10.9606361,19.17188119,14.13939225,23.97890819,31.78561151,15.31440589,20.42296073,46.79919679,150.4705882,11.28053143,12.20234076,57.14868966,99.70011001,24.3768555,19.61266294,37.33868974,17.12723658,15.73913043,94.74381528,121.4078431,13.2841016
27/12/1993,39.59060403,NA,80.44598338,63.128,NA,58.42646875,NA,NA,109.7272727,124.1010638,NA,NA,26.27009646,19.73768737,17.36966292,NA,NA,24.09306931,NA,29.1426799,NA,16.96319664,24.0060423,61.17670683,172.9411765,NA,14.73126266,NA,NA,NA,NA,NA,20.54274354,20.04603581,NA,NA,NA
12/01/1994,40.46979866,35.60344828,85.2989281,70.504,63.57153614,67.05405236,25.71820041,120.8745981,110.2867133,142.2393617,44.41553398,49.66491113,28.95176849,23.71948608,17.0511236,127.0157068,11.75185222,26.35049505,18.19208252,35.41687345,64.88345324,16.10515247,24.49546828,78.7751004,167.6117647,11.57613694,14.44834571,166.3969655,119.919692,27.94153287,29.27001862,47.39060569,19.13121272,20.81841432,128.0049478,161.1529412,15.19708373
